"","...1","rank","name","Net Worth","AGE","country","Source","industry","soccer_team"
"1",0,1,"Elon Musk","$219 B",50,"United States","Tesla, SpaceX","Automotive",NA
"2",1,2,"Jeff Bezos","$171 B",58,"United States","Amazon","Technology",NA
"3",2,3,"Bernard Arnault & family","$158 B",73,"France","LVMH","Fashion & Retail",NA
"4",3,4,"Bill Gates","$129 B",66,"United States","Microsoft","Technology",NA
"5",4,5,"Warren Buffett","$118 B",91,"United States","Berkshire Hathaway","Finance & Investments",NA
"6",5,6,"Larry Page","$111 B",49,"United States","Google","Technology",NA
"7",6,7,"Sergey Brin","$107 B",48,"United States","Google","Technology",NA
"8",7,8,"Larry Ellison","$106 B",77,"United States","software","Technology",NA
"9",8,9,"Steve Ballmer","$91.4 B",66,"United States","Microsoft","Technology",NA
"10",9,10,"Mukesh Ambani","$90.7 B",64,"India","diversified","Diversified",NA
"11",10,11,"Gautam Adani & family","$90 B",59,"India","infrastructure, commodities","Diversified",NA
"12",11,12,"Michael Bloomberg","$82 B",80,"United States","Bloomberg LP","Media & Entertainment",NA
"13",12,13,"Carlos Slim Helu & family","$81.2 B",82,"Mexico","telecom","Telecom",NA
"14",13,14,"Francoise Bettencourt Meyers & family","$74.8 B",68,"France","L'Oréal","Fashion & Retail",NA
"15",14,15,"Mark Zuckerberg","$67.3 B",37,"United States","Facebook","Technology",NA
"16",15,16,"Jim Walton","$66.2 B",73,"United States","Walmart","Fashion & Retail",NA
"17",16,17,"Zhong Shanshan","$65.7 B",67,"China","beverages, pharmaceuticals","Food & Beverage",NA
"18",17,18,"Alice Walton","$65.3 B",72,"United States","Walmart","Fashion & Retail",NA
"19",18,19,"Rob Walton","$65 B",77,"United States","Walmart","Fashion & Retail",NA
"20",19,19,"Changpeng Zhao","$65 B",44,"Canada","cryptocurrency exchange","Finance & Investments",NA
"21",20,21,"Charles Koch","$60 B",86,"United States","Koch Industries","Diversified",NA
"22",21,21,"Julia Koch & family","$60 B",59,"United States","Koch Industries","Diversified",NA
"23",22,23,"Amancio Ortega","$59.6 B",86,"Spain","Zara","Fashion & Retail",NA
"24",23,24,"Michael Dell","$55.1 B",57,"United States","Dell computers","Technology",NA
"25",24,25,"Zhang Yiming","$50 B",38,"China","TikTok","Media & Entertainment",NA
"26",25,26,"David Thomson & family","$49.2 B",64,"Canada","media","Media & Entertainment",NA
"27",26,27,"Phil Knight & family","$47.3 B",84,"United States","Nike","Fashion & Retail",NA
"28",27,28,"Dieter Schwarz","$47.1 B",82,"Germany","retail","Fashion & Retail",NA
"29",28,29,"Robin Zeng","$44.8 B",53,"Hong Kong","batteries","Automotive",NA
"30",29,30,"MacKenzie Scott","$43.6 B",51,"United States","Amazon","Technology",NA
"31",30,31,"Rodolphe Saadé & family","$41.4 B",52,"France","shipping","Logistics",NA
"32",31,32,"François Pinault & family","$40.4 B",85,"France","luxury goods","Fashion & Retail",NA
"33",32,33,"Klaus-Michael Kuehne","$37.3 B",84,"Germany","shipping","Logistics",NA
"34",33,34,"Ma Huateng","$37.2 B",50,"China","internet media","Technology",NA
"35",34,35,"Beate Heister & Karl Albrecht Jr. & family","$36.8 B",64,"Germany","supermarkets","Fashion & Retail",NA
"36",35,36,"Giovanni Ferrero","$36.2 B",57,"Italy","Nutella, chocolates","Food & Beverage",NA
"37",36,37,"Li Ka-shing","$34.8 B",93,"Hong Kong","diversified","Diversified",NA
"38",37,37,"Stephen Schwarzman","$34.8 B",75,"United States","investments","Finance & Investments",NA
"39",38,39,"Lee Shau Kee","$32.6 B",94,"Hong Kong","real estate","Real Estate",NA
"40",39,40,"Len Blavatnik","$32.5 B",64,"United States","music, chemicals","Diversified",NA
"41",40,41,"Jacqueline Mars","$31.7 B",82,"United States","candy, pet food","Food & Beverage",NA
"42",41,41,"John Mars","$31.7 B",86,"United States","candy, pet food","Food & Beverage",NA
"43",42,43,"Alain Wertheimer","$31.2 B",73,"France","Chanel","Fashion & Retail",NA
"44",43,43,"Gerard Wertheimer","$31.2 B",71,"France","Chanel","Fashion & Retail",NA
"45",44,45,"German Larrea Mota Velasco & family","$30.8 B",68,"Mexico","mining","Metals & Mining",NA
"46",45,46,"Gina Rinehart","$30.2 B",68,"Australia","mining","Metals & Mining",NA
"47",46,47,"Shiv Nadar","$28.7 B",76,"India","software services","Technology",NA
"48",47,48,"Jim Simons","$28.6 B",83,"United States","hedge funds","Finance & Investments",NA
"49",48,49,"He Xiangjian","$28.3 B",79,"China","home appliances","Manufacturing",NA
"50",49,50,"Miriam Adelson","$27.5 B",76,"United States","casinos","Gambling & Casinos",NA
"51",50,51,"Dietrich Mateschitz","$27.4 B",77,"Austria","Red Bull","Food & Beverage",NA
"52",51,52,"Leonardo Del Vecchio & family","$27.3 B",86,"Italy","eyeglasses","Fashion & Retail",NA
"53",52,53,"Ken Griffin","$27.2 B",53,"United States","hedge funds","Finance & Investments",NA
"54",53,54,"Tadashi Yanai & family","$26.1 B",73,"Japan","fashion retail","Fashion & Retail",NA
"55",54,55,"William Lei Ding","$25.2 B",50,"China","online games","Technology",NA
"56",55,56,"Susanne Klatten","$24.3 B",59,"Germany","BMW, pharmaceuticals","Automotive",NA
"57",56,56,"Cyrus Poonawalla","$24.3 B",80,"India","vaccines","Healthcare",NA
"58",57,56,"Wang Wei","$24.3 B",51,"China","package delivery","Service",NA
"59",58,59,"Qin Yinglin","$24.1 B",56,"China","pig breeding","Food & Beverage",NA
"60",59,60,"Sam Bankman-Fried","$24 B",30,"United States","cryptocurrency exchange","Finance & Investments",NA
"61",60,61,"Takemitsu Takizaki","$23.9 B",76,"Japan","sensors","Manufacturing",NA
"62",61,62,"Li Shufu","$23.7 B",58,"China","automobiles","Automotive",NA
"63",62,63,"Emmanuel Besnier","$23.5 B",51,"France","cheese","Food & Beverage",NA
"64",63,64,"R. Budi Hartono","$23.2 B",81,"Indonesia","banking, tobacco","Finance & Investments",NA
"65",64,65,"Leonard Lauder","$23.1 B",89,"United States","Estee Lauder","Fashion & Retail",NA
"66",65,66,"Guillaume Pousaz","$23 B",40,"Switzerland","fintech","Finance & Investments",NA
"67",66,67,"Iris Fontbona & family","$22.8 B",79,"Chile","mining","Metals & Mining",NA
"68",67,67,"Jack Ma","$22.8 B",57,"China","e-commerce","Technology",NA
"69",68,69,"Michael Hartono","$22.3 B",82,"Indonesia","banking, tobacco","Manufacturing",NA
"70",69,70,"Eric Schmidt","$22.1 B",66,"United States","Google","Technology",NA
"71",70,71,"Ray Dalio","$22 B",72,"United States","hedge funds","Finance & Investments",NA
"72",71,71,"Daniel Gilbert","$22 B",60,"United States","Quicken Loans","Finance & Investments",NA
"73",72,73,"Thomas Frist, Jr. & family","$21.8 B",83,"United States","hospitals","Healthcare",NA
"74",73,74,"Masayoshi Son","$21.3 B",64,"Japan","internet, telecom","Telecom",NA
"75",74,75,"Abigail Johnson","$21.2 B",60,"United States","money management","Finance & Investments",NA
"76",75,76,"Rupert Murdoch & family","$20.8 B",91,"United States","newspapers, TV network","Media & Entertainment",NA
"77",76,77,"Stefan Quandt","$20.7 B",55,"Germany","BMW","Automotive",NA
"78",77,78,"Jensen Huang","$20.6 B",59,"United States","semiconductors","Technology",NA
